               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.028113,            0.048779,           0.0019833,             0.96572,             0.92174,             0.96046,               0.735,             0.02466,            0.024993,          0.00071372,           0.0035145,           0.0035145,           0.0035145
                 144,            0.028254,             0.04844,           0.0020585,             0.95689,             0.93478,             0.95621,             0.73675,            0.024237,            0.024743,          0.00072483,            0.003457,            0.003457,            0.003457
                 145,            0.027916,            0.049253,           0.0020867,             0.95803,             0.94104,             0.96049,             0.74207,            0.023878,            0.024511,          0.00068646,              0.0034,              0.0034,              0.0034
                 146,            0.028052,            0.047996,            0.002009,             0.96075,             0.92628,             0.96082,             0.72179,             0.02552,            0.025419,          0.00071565,           0.0033434,           0.0033434,           0.0033434
                 147,            0.028157,            0.048029,           0.0019417,             0.96596,             0.92478,             0.96291,             0.74283,            0.024118,            0.024347,          0.00070021,           0.0032872,           0.0032872,           0.0032872
                 148,            0.027454,            0.047414,           0.0020062,             0.95968,             0.91673,             0.95704,             0.72967,            0.024807,            0.025125,          0.00074752,           0.0032315,           0.0032315,           0.0032315
                 149,             0.02782,            0.048852,           0.0019934,             0.96602,              0.9212,             0.95914,             0.73003,            0.024481,            0.025168,          0.00071432,           0.0031762,           0.0031762,           0.0031762
                 150,            0.027679,            0.047978,           0.0018779,             0.94904,             0.93877,             0.96324,             0.74449,            0.023855,             0.02396,          0.00070275,           0.0031214,           0.0031214,           0.0031214
                 151,            0.027647,            0.048058,           0.0017486,             0.95238,             0.93354,             0.96326,             0.74624,            0.023461,            0.023762,          0.00069734,           0.0030671,           0.0030671,           0.0030671
                 152,             0.02735,            0.046505,           0.0017948,             0.96438,             0.94128,             0.96306,             0.75392,            0.023259,            0.023479,          0.00066289,           0.0030133,           0.0030133,           0.0030133
                 153,            0.027441,            0.047993,           0.0019077,             0.96738,             0.93018,             0.96176,              0.7364,            0.023862,            0.024245,          0.00068718,             0.00296,             0.00296,             0.00296
                 154,            0.027226,            0.047977,           0.0016151,             0.95828,              0.9325,             0.96199,             0.74499,            0.023805,            0.024105,          0.00068012,           0.0029072,           0.0029072,           0.0029072
